recruiter,recruit,degree,blk,testatus
750,2,13,0,s
2564,17,12,0,s
2510,18,8,1,i
2521,31,3,1,s
1164,43,11,0,s
1959,46,11,1,s
1877,99,11,0,s
981,104,8,1,i
2089,109,7,0,s
,127,8,0,s
870,133,5,1,s
2613,141,7,0,s
1862,143,8,1,s
870,146,10,1,s
1177,204,13,1,s
1931,225,8,0,s
1451,227,8,0,s
2651,231,8,1,s
2507,242,12,0,s
2214,243,8,0,s
823,249,11,1,s
242,255,8,0,s
341,262,4,0,s
2771,274,6,0,s
718,281,12,0,s
133,307,8,1,s
772,311,2,0,s
1273,341,7,0,s
2931,374,6,0,s
2029,391,3,1,s
2027,393,8,1,s
1241,412,9,1,i
2029,429,10,0,s
2815,503,11,1,s
1556,508,7,0,i
1854,515,10,1,s
2,532,7,0,s
2027,566,8,1,s
1517,579,3,1,i
2564,583,6,1,s
772,590,6,1,s
2150,626,10,1,i
750,629,6,0,s
2443,630,8,0,s
1416,712,4,1,s
1004,718,9,1,s
2375,719,5,0,i
1424,728,11,0,i
2416,750,8,0,s
227,752,9,0,s
1717,761,7,0,s
2376,772,8,0,s
823,783,6,1,s
2068,814,6,1,s
892,823,9,1,i
1721,850,8,1,s
1376,860,5,1,s
1439,862,6,1,i
281,870,13,1,s
2956,878,11,1,i
1792,892,10,1,i
1536,897,7,0,s
225,901,7,0,s
2821,930,4,1,s
1440,938,6,0,s
1065,950,8,0,s
1424,972,13,1,i
2211,981,8,1,i
1451,993,7,0,s
1214,1004,7,1,s
1439,1016,2,1,s
2434,1036,4,0,s
1556,1065,4,1,s
1620,1067,10,1,i
2664,1104,5,0,i
225,1113,7,1,s
307,1116,5,1,i
761,1151,10,1,s
2956,1164,5,0,s
2521,1177,5,1,s
1214,1186,8,1,i
311,1198,7,0,i
2068,1199,7,1,s
1502,1214,6,1,i
1663,1215,7,0,s
508,1221,4,0,i
2434,1226,8,0,s
583,1239,7,1,s
,1241,10,0,s
1164,1249,11,0,s
225,1261,8,0,s
897,1273,4,0,s
1177,1300,12,1,s
133,1310,4,1,s
374,1352,8,0,s
1829,1358,8,0,s
391,1376,13,1,s
1959,1384,6,0,i
2798,1416,8,1,s
2495,1424,9,0,i
,1439,8,1,s
143,1440,10,1,s
255,1450,11,1,s
950,1451,5,0,s
1016,1502,8,1,s
2299,1512,9,1,s
2035,1514,4,1,s
1214,1517,11,1,i
412,1525,8,1,s
2956,1536,5,0,s
2664,1548,10,0,s
1754,1556,5,0,s
2491,1560,9,0,i
1560,1620,8,0,i
823,1628,6,1,s
1310,1630,9,1,s
393,1658,11,1,s
2068,1663,2,1,s
2079,1669,6,1,s
412,1716,7,1,s
728,1717,9,0,i
2800,1721,2,0,s
2376,1728,9,1,s
143,1738,5,1,s
1502,1754,2,0,s
2613,1776,5,0,s
2319,1792,7,1,s
1792,1793,8,1,s
892,1799,6,1,s
2105,1829,8,0,s
1728,1854,7,1,s
2440,1862,9,1,i
1113,1872,7,1,s
104,1877,10,1,s
1440,1903,6,1,s
878,1931,6,1,s
2521,1957,8,0,s
579,1959,8,0,s
2664,1963,9,0,i
1113,1966,6,1,s
1249,2000,6,1,s
1862,2027,9,1,s
972,2029,11,1,i
2434,2035,4,1,s
341,2062,8,0,i
2105,2068,10,1,s
2725,2079,6,1,i
2507,2089,10,0,i
1164,2105,4,0,s
2299,2136,5,0,s
2376,2150,6,1,s
1065,2211,8,1,s
227,2214,7,0,s
2440,2215,4,1,s
878,2252,9,0,s
1716,2287,5,1,s
2613,2299,5,0,s
231,2300,5,1,s
1957,2304,9,0,s
870,2312,8,1,i
1376,2319,5,1,s
1226,2368,6,1,s
508,2375,5,0,s
1829,2376,6,0,s
630,2416,5,0,s
728,2434,11,0,s
1376,2440,8,1,s
718,2443,7,0,s
772,2448,5,0,s
1560,2477,9,1,i
719,2491,12,0,i
1241,2495,9,0,i
2443,2504,7,0,i
901,2507,10,0,s
1273,2510,7,0,s
146,2521,7,1,s
1261,2564,10,0,s
1959,2613,10,0,s
2507,2621,8,0,i
1440,2646,8,1,s
1273,2651,8,1,s
1536,2664,5,0,s
2211,2725,4,1,i
1439,2737,9,1,i
972,2756,8,1,s
1104,2771,5,0,i
2000,2798,4,1,s
897,2800,8,0,s
1854,2815,11,1,s
2878,2821,4,1,s
1738,2828,7,1,s
2448,2863,9,0,s
1004,2878,7,1,s
590,2883,8,1,s
1310,2905,9,1,s
281,2916,12,0,s
860,2931,12,0,s
1004,2956,6,1,s
