recruiter,recruit,degree,blk,testatus
50,6,14,0,i
2689,7,12,0,s
1612,38,5,1,s
915,50,6,0,i
740,64,9,0,i
1358,67,3,0,s
1391,70,7,0,s
512,72,4,1,s
1035,82,8,0,s
2239,94,7,1,s
1612,120,4,1,s
1797,143,8,1,i
2770,144,9,1,i
1018,154,5,1,i
195,180,6,0,i
212,195,5,0,i
2994,203,5,0,s
1135,212,10,0,s
512,236,6,1,i
2298,243,10,0,s
1034,263,6,1,i
2415,321,12,0,i
1991,327,11,0,s
2427,361,6,0,s
2115,366,11,1,s
1619,387,4,1,i
144,400,8,1,s
512,431,5,1,s
1018,464,6,1,i
741,478,8,1,s
1578,483,7,0,s
2947,487,9,1,s
1671,489,9,1,s
2113,496,6,1,i
478,500,7,0,s
2057,512,6,1,s
1901,519,4,0,s
646,552,6,0,s
2947,553,3,1,s
1888,559,8,1,i
431,567,5,1,s
2615,569,1,1,s
1438,598,6,0,s
735,644,9,1,s
519,646,5,0,i
1018,664,12,1,s
2057,670,4,1,s
2994,695,8,1,s
1537,700,7,0,s
1672,709,8,1,s
1355,735,4,1,s
2916,740,6,0,i
1283,741,9,1,i
50,749,6,0,i
236,789,1,1,s
2223,846,9,0,s
2794,851,8,0,s
695,866,7,1,s
2488,877,11,1,i
2719,890,10,0,s
195,899,11,0,s
2689,908,4,0,s
2719,910,6,1,i
749,912,9,0,i
1619,915,7,0,s
2039,933,6,1,s
82,950,8,1,s
1835,974,9,1,i
2770,1006,5,1,s
50,1018,8,1,i
2557,1025,12,1,s
1693,1031,2,0,i
2251,1034,5,1,i
1147,1035,9,0,s
2784,1135,6,0,i
877,1143,7,1,i
846,1147,6,0,s
2673,1162,4,1,s
851,1177,5,0,s
2595,1204,6,0,s
2980,1259,6,0,i
2000,1265,6,1,i
144,1267,7,1,s
496,1283,9,1,i
646,1318,6,1,i
,1322,7,1,s
2115,1355,5,1,s
487,1356,6,1,i
1732,1358,4,0,s
740,1373,3,0,s
1143,1390,6,1,i
,1391,5,0,s
1147,1433,5,0,i
2549,1438,8,0,i
2870,1475,7,0,s
,1482,4,1,s
1672,1537,3,0,s
2557,1546,6,1,s
1482,1578,6,0,s
709,1587,5,1,s
1546,1612,6,1,s
1789,1619,6,0,s
2493,1671,7,1,s
2899,1672,5,1,s
2493,1693,6,0,i
1355,1704,6,1,s
2749,1732,9,1,s
478,1734,7,1,s
644,1762,7,1,s
749,1787,6,0,i
1835,1789,6,0,s
2115,1797,8,1,s
2807,1835,6,0,s
2298,1854,4,1,s
2372,1877,5,1,s
2484,1888,9,1,i
2784,1901,7,0,s
1991,1927,9,0,s
2749,1935,10,1,s
1475,1952,7,0,s
735,1976,17,1,s
361,1991,3,0,s
2314,2000,8,1,s
180,2039,2,0,i
1789,2057,6,1,s
2000,2077,10,1,s
559,2096,9,0,i
1789,2106,7,1,s
974,2109,7,1,s
2928,2113,7,1,i
1732,2115,4,1,s
1976,2119,7,1,s
749,2136,6,0,s
236,2154,7,1,s
950,2210,3,1,s
,2223,7,0,s
2870,2239,9,0,s
2106,2251,12,1,i
1482,2273,4,1,s
361,2296,8,0,s
2445,2298,7,1,s
2885,2314,6,1,s
974,2329,13,1,s
1935,2372,7,0,s
915,2375,5,0,s
2372,2415,9,0,s
890,2427,6,0,s
552,2433,5,0,s
2296,2445,8,0,s
2519,2462,8,1,s
2462,2463,11,1,i
2615,2484,4,1,s
1259,2488,5,1,s
2794,2493,4,0,s
2784,2500,7,1,s
2595,2506,6,0,i
2549,2519,3,1,s
195,2528,6,0,s
1025,2549,8,0,i
1318,2554,13,1,s
2506,2557,5,1,s
644,2561,7,1,i
1587,2583,5,0,s
1578,2595,7,0,i
6,2615,14,0,s
2239,2637,5,0,s
2886,2659,8,1,i
478,2673,7,1,s
143,2689,14,0,s
2296,2691,4,0,s
2749,2707,3,0,i
361,2712,7,0,s
2273,2719,7,1,s
2673,2749,6,1,s
2296,2754,10,0,s
2991,2770,12,1,s
67,2784,11,0,s
496,2794,3,0,i
2994,2801,5,0,s
1162,2807,6,1,s
567,2815,4,0,s
1433,2818,3,0,i
496,2819,10,1,s
500,2830,7,0,s
120,2832,6,1,s
2673,2868,6,0,s
2689,2870,12,0,s
519,2885,8,1,s
38,2886,6,1,s
2484,2887,4,1,s
915,2899,8,0,s
2870,2916,8,0,s
2941,2928,10,1,s
2980,2941,3,0,s
2554,2947,3,1,s
67,2972,10,0,i
2595,2980,7,0,s
567,2991,7,1,s
263,2994,6,0,s
