recruiter,recruit,degree,blk,testatus
1592,21,12,1,s
415,22,9,0,s
1348,26,8,0,i
119,28,7,1,s
983,77,5,0,s
311,80,11,0,i
1544,85,6,0,s
526,87,16,1,s
2254,93,6,1,s
2004,107,9,0,s
1194,111,5,1,i
768,119,6,1,s
439,122,8,0,i
210,155,6,0,s
87,166,9,1,s
1860,180,5,0,s
1892,210,10,0,s
1749,213,6,0,s
1176,221,6,0,s
87,243,7,0,s
2104,260,10,0,s
122,274,7,1,i
1532,288,8,1,s
1223,308,9,0,s
825,311,7,0,i
2021,327,4,1,s
1194,328,5,1,s
308,334,8,1,s
1348,344,5,1,s
243,415,11,0,s
1176,439,5,1,s
724,460,6,1,s
2187,472,9,0,s
1947,475,5,0,i
274,482,8,0,i
2844,483,5,1,s
951,503,10,0,s
1893,526,4,1,s
1146,579,8,1,s
1662,643,5,1,s
983,646,6,1,i
93,654,7,0,s
1359,669,6,0,s
1521,693,7,0,s
274,700,5,1,s
693,711,10,1,s
820,712,9,1,s
752,724,7,0,s
85,729,11,0,s
2578,731,4,0,s
1544,738,7,1,i
2871,742,8,1,i
771,752,8,0,s
1745,754,5,0,s
221,768,4,0,s
2944,771,5,1,s
327,782,13,1,s
155,793,7,0,s
2620,801,10,0,s
21,813,13,1,s
2844,820,11,1,s
210,825,11,0,s
,845,4,0,s
1333,846,6,0,i
1919,882,12,0,s
1718,887,5,0,s
503,934,5,0,s
2004,951,4,0,s
2091,983,7,1,i
2987,1021,7,1,s
26,1027,9,1,i
1831,1050,9,0,s
951,1062,8,0,s
2547,1065,9,1,s
1186,1083,11,1,s
1831,1103,10,1,s
693,1123,6,1,s
1495,1146,12,0,s
2944,1176,6,0,s
1246,1186,4,0,s
2579,1194,6,0,s
700,1223,6,0,s
724,1246,7,0,s
643,1257,6,0,s
1540,1296,13,0,s
26,1301,5,0,s
711,1317,11,1,s
213,1333,6,0,i
2032,1336,6,0,i
1831,1346,6,0,s
2470,1348,9,1,s
1472,1359,6,0,s
700,1367,8,1,s
1503,1373,11,1,s
2514,1377,9,0,s
1416,1411,7,1,s
166,1416,7,1,s
1872,1459,5,0,i
1176,1472,4,1,s
166,1495,5,0,s
503,1503,13,1,s
882,1521,6,1,s
820,1526,3,0,s
,1532,1,1,s
308,1540,7,0,s
180,1544,9,1,s
1223,1560,13,1,s
1700,1585,5,0,s
700,1592,6,0,s
2470,1615,10,1,i
2944,1616,5,0,i
85,1636,6,0,s
80,1649,4,0,s
2992,1662,8,0,s
742,1664,4,0,s
166,1700,8,0,s
771,1706,5,0,s
934,1713,10,0,s
2503,1716,3,1,s
1728,1718,7,0,s
2547,1726,3,0,s
2043,1728,3,1,s
738,1745,6,1,s
22,1749,7,0,s
2514,1822,7,0,s
2187,1824,6,0,s
1544,1831,8,0,s
22,1849,14,0,i
1947,1854,5,0,s
460,1860,6,1,s
1947,1872,5,0,s
2514,1879,5,0,s
2062,1884,13,0,s
1336,1885,8,0,s
2062,1892,8,1,s
643,1893,5,1,s
646,1907,4,0,s
1706,1913,9,0,s
1616,1919,4,0,s
439,1947,9,1,s
951,1960,4,0,s
483,1979,5,1,s
738,1995,9,0,i
2511,2004,8,0,s
825,2021,3,1,s
693,2028,7,1,i
983,2032,4,0,s
2871,2043,8,1,s
1186,2059,10,1,s
1333,2062,8,1,i
2254,2088,3,0,s
1246,2091,2,0,i
820,2104,8,1,s
526,2115,10,0,s
1616,2147,8,1,s
1700,2157,8,0,s
344,2181,11,0,s
1459,2187,11,1,s
28,2200,4,1,s
1872,2245,5,1,s
503,2254,9,0,s
1459,2323,5,0,s
311,2369,10,0,i
2541,2414,6,1,s
2147,2420,3,1,s
122,2426,5,0,i
260,2462,1,0,s
1472,2470,6,1,i
1893,2503,7,0,s
2062,2511,9,0,s
1592,2514,7,0,s
1301,2541,3,0,s
213,2547,12,1,s
1257,2578,11,0,s
1083,2579,5,0,s
768,2598,9,0,s
2157,2620,4,0,s
460,2645,8,1,i
2032,2666,2,0,s
344,2673,8,1,s
646,2682,10,1,s
1348,2686,6,1,s
308,2690,7,0,s
1194,2725,6,0,s
77,2764,5,0,s
2043,2768,3,1,s
1560,2782,7,1,s
934,2804,5,0,s
1849,2838,10,1,i
845,2844,6,1,s
,2871,5,0,s
,2878,4,1,s
813,2885,6,0,s
472,2918,6,1,s
2032,2927,8,1,s
1749,2944,7,0,s
1246,2952,11,0,s
2187,2987,6,0,s
,2992,4,0,s
