recruiter,recruit,degree,blk,testatus
216,61,7,0,i
924,78,6,0,i
2015,107,9,0,s
591,136,5,0,s
1829,154,8,0,s
2423,179,8,0,s
989,189,8,1,s
917,190,5,0,s
310,192,7,0,s
471,202,4,1,s
1598,211,5,1,i
1437,216,5,1,i
2839,217,12,0,i
1052,220,7,0,s
2481,253,6,0,s
1398,255,6,1,s
2523,260,10,0,s
211,280,5,1,s
107,281,11,0,s
1209,282,8,1,s
890,293,5,0,s
2487,306,8,1,s
2657,310,11,1,i
1612,320,4,0,s
2496,322,10,0,s
1798,326,9,0,s
78,331,6,0,s
1245,354,13,0,s
789,379,8,0,s
1972,403,7,0,s
2056,429,8,1,s
179,432,4,1,s
2481,441,8,1,s
2015,442,10,1,i
1985,445,5,0,s
1798,464,6,0,s
535,467,8,1,s
1827,471,7,1,s
2468,513,9,0,s
1586,525,13,0,s
2839,535,4,0,s
1920,542,8,1,s
189,557,12,1,s
255,559,9,0,s
2509,570,6,1,s
1258,591,9,0,s
1305,611,7,0,s
322,637,5,1,s
2811,650,6,0,s
796,657,8,0,s
282,694,10,0,i
,725,7,1,s
2393,738,7,1,i
1068,745,9,1,i
2393,778,5,1,s
1736,779,7,0,s
2015,789,7,0,i
2340,796,10,1,s
2293,890,6,0,s
1460,896,8,0,i
331,917,8,0,i
896,924,6,0,s
987,933,10,1,s
778,950,14,1,s
950,976,7,0,s
1068,985,4,1,s
1603,987,8,1,s
2975,989,11,1,s
2774,992,8,1,s
2379,993,7,0,s
992,1039,6,1,s
192,1041,5,0,s
1763,1051,6,1,s
,1052,8,0,s
322,1056,5,1,s
280,1068,7,0,s
2458,1091,6,0,s
1829,1105,12,0,s
2056,1107,5,0,s
2344,1118,4,1,s
917,1153,5,0,s
281,1154,6,1,s
2341,1163,8,0,s
331,1188,8,1,s
211,1190,4,0,i
2621,1202,8,1,s
1530,1204,4,0,s
1052,1209,8,1,i
1530,1220,7,0,s
217,1225,13,0,s
379,1245,13,1,s
2096,1258,9,0,s
220,1280,6,1,s
1280,1305,6,1,s
379,1312,2,1,s
2341,1314,7,0,s
2708,1326,9,1,s
1985,1334,5,0,s
1736,1341,11,1,s
2340,1398,5,1,s
2774,1425,8,0,s
2341,1437,8,1,s
657,1444,8,0,s
1603,1456,5,1,s
211,1460,6,0,i
778,1503,13,1,s
2056,1507,4,0,s
1204,1514,9,0,s
1190,1530,6,0,s
1657,1553,10,1,s
2811,1556,3,1,s
442,1561,5,1,s
1051,1577,5,1,s
1444,1586,8,0,s
2657,1598,10,0,s
1896,1601,6,1,s
2379,1603,8,1,s
1670,1605,8,1,s
2567,1612,8,1,s
1153,1617,7,1,s
1052,1621,9,1,s
1612,1642,7,1,s
216,1646,6,0,s
2004,1657,4,0,s
1154,1670,7,0,s
192,1680,8,1,s
464,1735,8,0,s
1312,1736,9,0,s
2655,1763,8,1,s
,1767,3,0,s
3000,1781,7,0,i
896,1798,9,0,s
,1827,3,1,s
1163,1829,8,0,s
2748,1890,10,0,s
1920,1896,7,1,s
1586,1920,9,0,s
217,1972,6,0,i
2567,1978,7,0,s
1305,1985,6,0,s
738,1995,9,0,i
107,2004,8,0,s
1598,2015,5,1,i
2344,2017,3,1,s
1763,2018,5,1,s
2839,2056,8,1,s
2964,2096,7,1,s
471,2136,8,1,s
2532,2175,8,1,s
1781,2189,8,1,i
1920,2273,9,0,s
107,2287,9,0,s
354,2293,7,0,s
331,2330,8,1,i
1041,2340,8,0,s
326,2341,8,1,s
2605,2343,5,0,i
1245,2344,10,1,s
1334,2379,14,1,s
2096,2393,4,1,s
217,2402,8,1,i
220,2423,7,0,s
2708,2425,6,1,s
1220,2437,9,0,s
2804,2458,5,0,s
281,2468,8,1,i
1153,2474,2,0,s
987,2481,5,0,s
1204,2487,3,1,s
354,2496,5,0,s
1798,2509,9,0,s
2621,2516,11,0,s
1163,2523,10,0,s
136,2532,9,1,s
637,2535,5,1,s
745,2567,5,0,s
1670,2586,4,0,s
2468,2605,11,1,s
1890,2616,8,1,s
442,2621,6,0,s
2423,2655,4,0,s
1827,2657,9,1,s
293,2677,6,1,s
987,2689,7,0,s
1460,2708,6,1,s
1680,2733,7,1,s
1444,2748,8,0,s
2344,2774,7,0,s
1735,2800,7,0,s
789,2804,5,0,s
379,2811,8,0,s
2774,2839,9,0,s
326,2907,9,1,s
1460,2921,4,0,i
1326,2964,8,1,s
281,2973,5,0,s
220,2975,8,1,s
1280,3000,7,1,s
