recruiter,recruit,degree,blk,testatus
1339,8,4,1,i
2887,40,4,1,s
1287,51,9,0,i
1977,57,4,1,s
2226,69,5,1,s
1919,72,6,0,s
192,93,3,0,s
1399,96,5,0,s
1051,114,7,1,s
378,115,5,1,s
695,129,4,0,s
691,131,3,0,s
2090,140,8,0,s
2338,142,4,0,s
2356,155,9,1,s
1205,169,7,1,s
666,175,9,0,s
1887,192,7,0,s
763,196,9,1,s
877,209,5,0,s
175,220,7,0,i
2957,251,7,1,s
565,292,8,0,s
1451,303,8,1,s
378,304,5,0,i
1447,340,3,1,i
2183,349,5,1,i
1722,355,4,1,s
1428,368,6,1,s
2743,378,5,0,s
553,382,8,0,s
2597,396,5,1,s
2887,401,7,1,s
2550,411,6,0,s
980,451,5,1,s
382,456,7,1,s
401,459,3,1,s
1784,474,8,0,s
2263,492,8,1,s
40,497,9,1,s
355,546,4,1,s
51,553,4,0,s
,564,5,0,i
2263,565,8,1,s
1710,605,5,1,s
1944,632,10,0,s
2535,635,7,1,i
2094,648,6,0,s
1966,662,9,0,s
565,663,5,1,s
669,666,5,1,s
2320,669,5,0,s
349,691,8,1,i
2277,695,5,0,s
2226,717,4,1,s
1174,751,5,1,s
1447,763,4,1,i
2752,780,6,0,s
1339,798,3,1,s
1200,809,11,0,s
1944,843,6,0,i
717,854,11,1,s
1892,877,6,1,i
1049,884,7,1,s
140,885,2,0,i
51,893,7,0,i
1765,945,9,0,s
662,980,8,1,i
669,1000,7,1,s
2550,1034,6,0,s
,1036,5,0,s
780,1049,10,1,s
459,1051,5,1,s
1966,1070,2,0,i
93,1097,7,0,i
2597,1098,4,1,s
2832,1099,5,1,s
411,1108,3,0,s
140,1116,5,0,s
1644,1144,5,0,s
1701,1170,4,1,s
1000,1174,9,1,i
2420,1200,6,1,s
763,1205,8,0,s
2226,1230,5,0,i
382,1241,9,1,s
1205,1254,8,0,i
945,1275,7,1,s
251,1282,4,1,s
2539,1287,7,0,s
1784,1321,8,0,s
456,1339,10,1,s
1036,1399,9,0,i
1108,1406,7,1,i
1892,1408,6,1,s
2723,1428,4,1,s
40,1447,3,1,s
1406,1450,4,1,s
1887,1451,5,1,s
2183,1514,4,1,s
2002,1599,4,1,s
2904,1601,6,0,s
2170,1610,3,0,s
1399,1633,3,0,s
2676,1644,9,0,s
2535,1690,8,1,s
763,1698,9,1,i
2729,1701,2,1,s
809,1710,9,1,i
142,1722,9,0,s
1200,1740,7,1,s
382,1765,6,0,s
1992,1784,8,0,i
2887,1787,4,1,s
695,1811,7,1,s
1924,1823,9,0,s
663,1838,13,1,s
1977,1887,4,1,s
2100,1892,9,1,s
115,1909,7,1,s
1450,1914,6,1,s
69,1919,2,0,s
2129,1924,5,1,s
2670,1944,4,0,s
553,1966,9,0,s
2743,1969,7,0,i
1909,1970,5,1,s
843,1974,5,0,s
1710,1977,8,1,i
980,1981,5,1,s
,1992,6,1,s
780,2002,8,1,s
2574,2014,4,1,s
251,2049,10,0,s
2832,2073,13,1,i
662,2090,4,0,s
2396,2094,7,0,i
1787,2100,7,1,s
2752,2113,6,0,s
2170,2121,11,1,s
662,2129,4,1,s
378,2132,4,0,s
492,2137,9,1,s
492,2170,6,0,s
2137,2183,4,1,s
717,2203,4,1,s
1892,2209,13,1,s
2597,2215,6,1,s
2832,2226,8,1,s
1690,2249,5,1,s
2998,2263,7,1,s
2137,2265,7,0,s
1450,2276,7,1,s
2824,2277,6,0,s
2132,2288,6,0,s
2550,2320,7,0,i
2768,2324,4,1,s
1690,2338,4,1,s
666,2356,3,1,s
1339,2378,2,1,s
2129,2396,3,0,s
2631,2420,3,0,s
51,2440,9,0,i
2722,2535,7,1,s
1230,2539,3,0,s
2249,2542,3,1,s
854,2550,4,0,s
1282,2574,10,1,s
2729,2597,6,1,i
877,2615,11,0,s
,2631,7,1,i
893,2670,8,1,i
57,2676,6,0,s
1049,2722,5,1,i
1599,2723,7,1,i
1909,2729,4,1,s
2676,2743,4,0,s
1200,2752,5,0,s
2574,2762,8,0,i
497,2763,3,0,s
175,2768,6,0,s
1601,2773,10,1,s
1287,2775,7,0,i
1969,2783,9,0,s
474,2824,9,0,s
1633,2832,9,1,s
1690,2887,6,1,s
2132,2904,4,0,s
192,2957,3,0,s
1282,2976,14,1,s
1601,2991,8,1,s
1811,2998,6,1,i
