recruiter,recruit,degree,blk,testatus
63,1,3,0,s
21,2,6,0,s
38,3,4,0,s
35,4,6,0,i
45,5,8,0,i
49,6,6,1,s
59,7,7,1,s
40,8,9,1,s
82,9,6,0,s
81,10,4,0,s
2,14,8,0,s
84,15,4,1,i
88,16,8,1,s
57,17,7,1,s
,18,7,1,s
36,19,6,1,s
24,20,8,1,s
68,21,7,0,s
61,22,8,1,i
43,23,5,1,s
3,24,8,1,s
55,25,8,0,s
40,26,4,0,s
,27,5,0,s
74,28,11,0,s
9,29,9,0,s
46,30,6,0,s
45,31,8,0,s
65,32,5,1,i
,33,3,0,s
42,34,8,1,s
51,35,5,0,s
,36,2,1,s
60,37,6,1,i
5,38,6,0,s
54,40,7,1,i
6,41,6,1,s
49,42,8,1,s
54,43,4,1,s
,44,3,1,s
46,45,7,0,s
95,46,7,0,i
22,47,9,1,s
29,48,3,1,s
3,49,6,0,s
16,51,5,1,s
21,52,7,0,s
79,53,8,0,i
87,54,7,1,s
74,55,11,0,s
,56,11,1,s
55,57,6,1,s
35,58,3,0,s
18,59,5,1,s
57,60,10,0,i
,61,5,0,s
37,62,5,0,s
8,63,3,1,s
78,65,7,0,s
34,67,5,1,s
56,68,5,0,s
81,69,5,0,s
18,70,8,1,s
31,72,4,0,s
98,74,4,0,s
,75,4,0,s
46,76,7,0,s
61,77,8,1,s
16,78,4,0,i
29,79,7,0,s
29,80,6,0,s
61,81,6,0,s
68,82,6,0,s
27,83,7,1,i
48,84,8,1,s
43,85,6,1,s
75,87,7,1,s
84,88,4,0,s
32,89,5,1,s
63,90,7,0,s
87,91,7,1,s
62,93,9,0,s
1,94,3,0,i
4,95,5,0,i
72,96,3,1,s
34,97,6,1,s
8,98,11,0,s
,100,2,0,0
