recruiter,recruit,degree,blk,testatus
2193,7,4,1,s
495,47,9,1,s
1481,57,5,1,s
1383,60,6,0,s
2812,68,5,0,s
1411,83,8,0,s
2362,90,7,0,s
,116,5,1,s
1252,126,11,1,s
2776,130,10,1,s
916,131,8,0,i
2150,141,6,1,s
716,142,6,0,s
2835,172,8,0,s
1481,176,11,0,s
1428,182,5,1,s
1319,214,7,1,s
1410,215,9,1,i
713,222,5,0,i
316,230,5,1,s
1102,238,2,0,i
2343,244,7,0,s
176,256,10,1,s
782,260,7,1,s
1410,277,7,1,s
2193,294,7,1,s
2439,313,6,0,s
1265,316,8,0,s
715,336,7,0,s
1225,378,8,1,s
916,394,4,1,s
607,401,7,0,s
981,408,9,0,s
1815,411,8,0,i
1053,462,8,0,s
1123,468,6,1,s
2820,478,8,0,s
2693,495,7,1,s
1398,496,5,0,s
2696,499,1,1,s
817,590,12,1,s
2017,602,8,0,s
2835,607,7,0,s
244,609,5,0,s
725,626,3,1,i
130,671,8,1,s
1459,713,7,0,s
47,715,4,0,s
126,716,5,1,i
1225,723,4,1,s
1175,725,4,0,i
1353,739,5,1,s
2998,763,10,0,s
978,773,4,1,s
214,775,6,1,s
2776,782,9,1,s
2254,817,9,1,s
2343,827,12,1,s
1295,841,14,0,s
763,855,6,1,s
1550,862,7,1,s
817,906,10,0,i
7,914,7,0,i
2341,916,6,0,s
607,931,5,1,s
468,933,9,1,i
1534,949,12,1,i
2693,978,12,1,s
723,981,8,1,s
2721,987,7,0,s
83,988,7,1,s
2693,1012,6,1,s
1270,1023,7,0,s
2373,1030,10,1,s
2823,1053,6,0,s
1398,1054,10,0,s
,1055,6,0,s
130,1102,4,0,i
1550,1109,9,1,s
,1123,2,1,s
142,1124,15,0,s
2046,1175,9,1,s
1244,1180,8,0,s
2536,1182,9,0,s
2998,1205,4,0,s
1822,1208,9,0,s
981,1212,5,1,s
933,1225,7,1,s
1398,1237,5,1,s
590,1244,5,1,s
,1252,8,0,s
1109,1265,9,1,i
2529,1266,6,1,s
2704,1268,6,1,s
1481,1270,5,0,s
2433,1279,6,1,s
1410,1295,9,1,s
1434,1296,11,0,s
1855,1319,4,0,s
949,1339,5,1,s
987,1353,6,1,i
1265,1383,9,0,s
1897,1387,11,1,s
57,1398,11,1,i
1268,1410,11,1,s
2835,1411,9,0,s
2254,1422,9,1,i
773,1428,5,0,i
1339,1434,5,1,s
1102,1459,6,0,s
1828,1481,6,1,i
1508,1502,3,0,s
1613,1508,7,0,s
1208,1510,8,1,s
141,1534,9,1,s
1295,1550,6,1,s
2341,1613,5,1,s
2046,1661,10,1,i
2504,1668,5,0,s
1947,1692,5,1,i
1030,1703,6,1,i
1837,1714,7,0,s
2439,1806,7,0,i
1102,1815,5,0,s
988,1822,4,0,s
2344,1828,7,0,i
1459,1831,5,0,s
725,1837,5,0,s
2521,1855,5,0,s
1295,1861,11,0,i
2529,1875,15,0,s
2704,1897,7,1,s
1508,1912,11,0,s
2823,1915,4,1,s
773,1947,9,0,s
1109,1948,7,1,i
2433,2017,9,1,s
126,2046,8,0,s
933,2078,5,0,s
715,2124,10,0,s
2124,2143,8,1,s
713,2150,9,1,i
2998,2159,10,1,s
1815,2167,6,1,s
827,2189,3,1,s
1339,2193,9,1,s
1205,2228,9,1,s
723,2230,10,1,s
1055,2254,7,1,s
2536,2266,4,0,s
1714,2309,11,0,s
1265,2341,4,1,s
468,2343,8,1,s
1550,2344,6,1,s
2728,2351,10,0,s
1459,2362,7,1,i
1109,2373,4,1,s
495,2414,12,1,s
2439,2417,6,1,i
2509,2433,7,1,s
1613,2439,13,0,s
2433,2453,8,1,s
1252,2466,9,0,s
2254,2504,9,1,s
1411,2509,6,1,s
671,2521,7,0,s
2193,2529,7,1,s
1030,2536,13,0,s
2812,2553,9,1,i
2189,2565,6,1,s
176,2581,8,0,s
1875,2641,8,0,s
1661,2657,8,0,s
1270,2665,11,0,s
988,2693,8,1,s
1268,2696,10,1,s
2565,2704,12,0,i
47,2721,4,0,s
7,2728,4,1,s
2958,2776,7,1,s
,2778,8,1,s
1828,2812,7,0,s
2341,2820,11,0,s
2150,2823,5,1,s
916,2825,8,0,s
238,2835,9,1,s
1915,2847,7,0,s
57,2859,7,1,i
723,2860,4,0,s
1897,2862,4,1,i
2504,2918,8,0,s
468,2958,16,1,s
1175,2971,4,0,s
2414,2998,5,0,s
