recruiter,recruit,degree,blk,testatus
811,16,21,0,s
397,19,23,1,s
2307,24,19,1,s
2436,42,17,1,s
183,48,19,0,s
490,55,18,1,s
1876,60,18,1,s
1867,68,19,1,s
916,72,22,1,s
2350,75,8,1,s
1102,76,22,1,s
1505,80,15,0,s
951,81,26,1,i
2312,95,22,1,s
1693,103,27,1,s
1358,104,17,0,s
178,109,20,1,s
1600,112,23,0,s
2028,114,23,0,s
1649,115,29,1,s
2028,129,20,0,s
1710,139,19,1,s
112,151,15,0,s
1135,162,18,0,s
1543,172,25,0,s
245,178,18,1,s
948,179,20,1,i
1078,183,28,0,s
1057,186,17,1,s
2020,188,19,1,s
2454,193,26,1,s
1129,212,18,1,i
1305,214,18,0,s
1005,219,19,0,s
1070,225,21,0,i
1824,226,29,0,i
2312,245,15,1,s
1510,267,25,0,i
2024,270,21,0,s
2422,281,26,0,s
1259,300,20,1,i
1763,310,19,0,s
,356,20,1,s
1346,357,19,1,i
1380,360,21,1,s
1102,391,16,1,s
1867,397,15,1,s
519,410,18,0,i
1380,414,19,1,s
1597,420,26,1,i
888,421,25,0,s
1917,453,24,1,i
1499,474,24,1,s
1135,479,19,1,i
2224,490,19,1,s
2398,495,23,1,s
1644,507,22,0,s
2394,508,14,0,s
2083,511,14,0,s
1674,519,24,0,s
1846,522,21,0,s
2285,526,20,0,s
991,543,21,0,s
2023,558,22,0,s
397,571,24,0,s
821,576,20,0,s
1693,585,19,1,s
2405,592,17,0,i
1375,609,18,1,s
507,610,20,0,s
1265,611,21,0,s
1781,619,19,0,s
1610,620,18,1,i
1587,629,21,0,i
620,647,24,1,s
357,648,20,1,s
2285,653,18,0,s
1824,656,12,0,s
2121,657,21,1,s
2292,665,22,1,s
2117,674,20,1,s
888,677,18,1,s
1710,687,27,1,s
1291,697,23,0,i
2095,702,22,0,s
270,714,25,0,s
2441,726,23,1,i
270,729,19,0,s
951,733,21,1,s
1291,742,16,0,s
42,785,15,1,s
