recruiter,recruit,degree,blk,testatus
1206,3,4,0,s
2322,17,8,0,s
1206,19,5,0,s
2944,38,11,0,s
862,40,6,0,s
3,51,5,0,s
741,56,5,1,i
646,75,4,0,s
2625,81,9,1,s
1575,92,9,0,s
917,137,5,0,s
1575,144,8,0,i
2634,158,4,0,s
1362,202,8,0,s
416,223,6,0,i
1270,238,6,0,s
446,241,7,0,s
2216,244,4,0,s
1539,247,3,0,s
851,254,10,0,s
1906,287,8,0,s
2521,306,7,0,s
890,342,12,0,s
38,374,6,0,s
2604,382,5,0,s
2358,406,6,0,s
429,416,8,0,i
872,426,2,0,s
712,429,5,0,s
1027,436,7,0,s
2040,446,8,0,i
1922,453,4,0,s
1676,478,5,0,s
2958,515,7,0,s
967,518,7,0,s
1401,525,4,0,s
2883,533,6,0,s
2174,546,3,0,s
1097,560,7,0,s
2189,572,6,0,s
2189,595,7,0,i
2476,608,7,1,i
2634,613,5,0,s
1729,646,3,0,s
1401,684,7,0,s
2918,691,5,0,s
698,694,5,0,s
2883,698,6,0,i
967,712,3,0,s
2867,726,6,0,s
613,727,4,0,s
1458,731,4,0,s
1620,734,8,0,s
1282,741,3,1,i
1851,754,4,0,s
2174,756,6,0,s
2668,759,8,0,i
2546,808,5,0,s
1442,851,12,0,i
1683,856,2,1,s
2641,861,7,1,s
2604,862,8,0,s
17,872,5,0,s
1046,890,9,0,s
,893,8,1,s
2929,917,4,0,s
382,926,5,0,s
560,934,4,0,s
2351,935,4,1,s
478,949,7,0,s
2322,958,8,0,s
2428,967,6,0,s
756,1024,5,0,s
1984,1027,6,0,s
1401,1031,6,0,s
1049,1046,5,0,s
2486,1049,8,0,i
1049,1093,5,0,i
546,1097,4,0,s
808,1150,5,0,i
926,1189,3,0,s
893,1204,10,1,s
572,1206,6,0,s
2023,1227,7,0,s
2958,1254,6,0,s
2944,1270,6,0,s
2641,1282,6,1,s
2476,1310,8,1,i
2491,1362,5,0,s
890,1365,7,0,s
2933,1401,8,0,s
2722,1402,6,0,s
1652,1437,5,1,s
595,1442,3,0,i
926,1458,7,0,s
1676,1470,10,0,i
2174,1485,6,0,s
1204,1493,6,1,s
2250,1512,4,0,s
1551,1514,4,0,s
2933,1523,8,0,s
19,1539,5,0,s
756,1540,5,0,s
2043,1551,8,0,s
144,1558,6,0,i
862,1571,3,0,s
2604,1575,6,0,s
518,1590,6,0,s
949,1620,3,0,s
2336,1652,7,1,s
2678,1658,10,0,s
,1675,2,0,i
1150,1676,4,0,i
2929,1677,12,0,s
595,1682,8,1,i
1204,1683,8,1,s
144,1729,6,0,s
40,1733,4,0,s
2358,1738,2,0,s
613,1779,13,0,s
2358,1825,7,0,s
698,1851,7,0,s
2634,1857,6,0,s
1682,1883,7,1,s
935,1893,5,1,s
2918,1904,3,0,s
2958,1906,5,0,s
1493,1918,5,1,s
38,1922,8,0,i
2428,1972,9,0,i
2103,1984,8,0,s
1365,1998,3,0,s
2196,2023,6,0,s
2677,2040,6,0,s
862,2043,3,0,s
2678,2050,5,0,s
533,2075,8,0,s
2356,2087,11,0,s
287,2103,6,0,s
1857,2113,3,0,s
1998,2129,7,0,i
,2142,5,0,s
2521,2170,3,0,i
382,2174,5,0,s
17,2189,8,0,s
1551,2193,5,0,s
1658,2196,5,0,s
1893,2212,9,1,i
1857,2216,9,0,s
2040,2250,7,0,s
2605,2288,7,0,i
546,2322,7,0,s
2322,2331,6,0,s
1282,2336,5,1,s
17,2339,7,0,i
1658,2351,6,1,s
1906,2356,5,0,s
2428,2358,5,0,s
691,2428,6,0,s
2534,2450,6,0,i
935,2476,4,1,i
2331,2486,6,0,s
2912,2491,4,0,s
1189,2521,5,0,s
478,2534,12,0,s
1729,2546,3,0,s
382,2550,3,1,s
,2604,4,0,s
1442,2605,7,0,s
861,2625,6,1,s
2786,2634,6,0,s
2351,2641,5,1,s
2722,2645,6,0,s
38,2668,7,0,s
518,2677,5,0,s
2546,2678,4,0,s
1204,2693,3,1,s
934,2722,4,0,s
1857,2723,2,0,s
2883,2768,6,0,s
1883,2781,7,1,s
1658,2786,6,0,s
1097,2791,1,0,s
560,2851,6,0,s
2944,2856,3,0,s
2975,2867,3,0,s
1470,2883,8,0,s
3,2898,1,0,s
2786,2903,9,0,s
1675,2912,5,0,s
1458,2918,6,0,i
1362,2929,5,0,s
1918,2930,10,1,s
287,2933,9,0,s
1150,2938,3,0,s
2786,2944,5,0,s
731,2958,5,0,s
1270,2969,6,1,s
1206,2975,4,0,s
