recruiter,recruit,degree,blk,testatus
2100,2,9,1,s
2931,3,5,0,i
2033,10,4,1,i
2680,24,5,1,i
1730,41,7,1,s
1368,43,6,1,i
1759,60,6,1,i
1012,81,5,1,i
614,103,4,0,i
1825,104,12,0,i
2666,125,8,1,s
2198,152,6,0,s
1442,182,7,0,i
2117,246,9,1,i
1268,310,10,0,i
2946,313,6,0,i
1101,321,7,0,s
348,340,5,1,i
1144,348,5,1,s
690,367,7,0,s
951,368,7,0,s
1967,397,11,1,s
1479,426,11,1,s
1545,440,8,0,s
1368,452,9,0,s
2495,472,9,0,i
2859,498,13,0,s
2738,507,6,1,i
2548,523,11,1,s
978,524,5,0,s
557,542,12,0,s
2718,545,9,0,i
2338,546,10,1,s
1195,557,8,1,s
1600,569,10,0,s
2429,593,9,1,s
182,614,12,1,i
542,616,9,1,i
368,634,8,0,s
1545,644,3,1,i
1600,675,10,1,s
2434,690,5,0,s
2901,693,13,1,s
2096,713,7,1,s
2436,733,4,1,s
733,753,6,0,s
2599,776,5,1,i
2372,780,10,1,i
2533,794,5,1,s
1101,825,9,1,i
2338,837,10,1,i
1195,851,12,1,s
1793,865,4,0,s
1268,881,7,1,i
2738,885,6,1,s
837,944,9,1,i
2756,951,6,0,s
2513,978,4,0,s
60,991,9,1,s
1542,1012,8,1,i
776,1024,7,1,i
2930,1079,5,1,i
2901,1082,8,0,i
733,1101,7,0,s
776,1106,5,0,s
2296,1115,8,0,s
776,1144,7,0,i
2124,1147,10,0,s
1553,1148,7,1,s
103,1164,14,0,s
2142,1169,4,1,s
1144,1195,6,0,s
1503,1198,4,0,s
780,1205,7,0,s
182,1226,6,0,i
690,1240,5,0,s
2993,1268,7,0,i
1440,1287,10,1,s
991,1289,9,0,s
2377,1292,5,0,s
,1327,6,0,s
1024,1336,8,0,s
2522,1368,9,1,i
1164,1392,8,1,s
368,1424,8,1,s
1079,1440,9,0,s
1780,1442,3,0,i
2842,1451,6,0,s
507,1452,16,1,i
2042,1462,5,1,s
2434,1479,3,1,s
1553,1498,11,0,i
2189,1503,9,0,i
2901,1507,12,1,i
1825,1516,6,0,s
2840,1542,9,1,i
2198,1544,7,0,s
1503,1545,11,1,i
865,1553,6,1,s
837,1567,7,1,s
81,1573,7,0,s
3,1583,6,0,i
1759,1600,8,1,s
2993,1624,13,1,i
733,1631,11,1,s
1847,1668,10,0,i
2042,1712,10,0,s
2464,1717,6,1,s
951,1730,5,0,s
313,1732,7,1,i
1169,1759,15,1,i
1289,1780,10,0,s
2114,1793,5,1,s
1973,1814,11,1,i
2738,1825,6,0,i
2129,1834,8,0,s
104,1847,11,0,i
2930,1853,3,0,s
523,1903,7,1,s
2462,1911,9,1,i
41,1967,5,1,s
1024,1973,11,1,i
2042,1975,8,1,i
2051,2007,9,0,i
2164,2018,5,0,s
557,2033,12,1,i
1825,2040,4,1,s
1717,2042,5,1,s
2114,2051,3,0,i
2931,2096,6,1,i
1624,2100,6,0,s
2680,2114,3,1,i
2718,2117,7,1,s
3,2119,8,0,s
2436,2124,7,1,s
1012,2129,11,0,s
1079,2131,5,1,s
,2136,10,0,s
881,2142,9,1,s
152,2164,9,1,s
2033,2189,11,0,s
367,2192,6,1,s
2,2198,7,0,s
1195,2207,7,1,s
2462,2235,10,1,s
1462,2243,8,1,i
1573,2259,7,0,s
43,2276,8,0,s
1516,2296,7,1,i
1289,2313,4,0,s
2129,2323,5,0,s
1079,2328,10,1,i
2033,2338,7,1,s
1169,2343,13,1,i
2834,2363,11,1,s
1498,2372,6,1,s
524,2377,14,0,s
2811,2408,11,1,i
348,2429,7,1,s
2142,2433,8,0,s
1973,2434,5,0,s
2842,2436,7,1,s
2243,2462,10,1,s
2164,2464,5,1,s
313,2471,11,1,s
2433,2477,8,1,i
1144,2495,9,0,i
2207,2513,6,1,s
2040,2522,7,0,i
2,2533,6,1,s
2296,2548,15,1,i
103,2567,11,0,i
2834,2599,8,1,i
1911,2612,1,1,s
2,2666,10,1,s
2984,2680,8,1,s
1780,2704,8,0,i
1368,2718,6,1,s
152,2729,9,1,s
2946,2738,7,1,s
794,2756,3,0,s
2567,2766,3,1,i
2984,2784,9,1,i
1498,2811,5,0,i
1327,2821,9,1,i
794,2834,11,1,i
2243,2839,7,1,s
2464,2840,9,1,s
885,2842,12,0,i
368,2859,3,0,s
125,2901,8,1,s
2666,2908,8,0,s
1205,2916,13,1,s
2377,2917,10,0,s
2495,2930,6,1,s
125,2931,10,0,s
1082,2946,8,0,i
2756,2984,5,1,i
,2993,4,1,i
